scientific_name,common_name,birdlife_scientific_name
Acanthis cabaret,Lesser Redpoll,Acanthis flammea
Acanthis hornemanni,Hoary Redpoll,Acanthis flammea
Acrocephalus baeticatus,African Reed Warbler,Acrocephalus scirpaceus
Actinodura cyanouroptera,Blue-winged Minla,Siva cyanouroptera
Actinodura strigula,Chestnut-tailed Minla,Chrysominla strigula
Aerodramus amelis,Ameline Swiftlet,Aerodramus vanikorensis
Aerodramus germani,Germain's Swiftlet,Aerodramus fuciphagus
Aerodramus sororum,Sulawesi Swiftlet,Aerodramus infuscatus
Aethopyga decorosa,Bohol Sunbird,Aethopyga pulcherrima
Aethopyga jefferyi,Mountain Sunbird,Aethopyga pulcherrima
Alcippe davidi,David's Fulvetta,Alcippe morrisonia
Alcippe fratercula,Yunnan Fulvetta,Alcippe morrisonia
Alcippe hueti,Huet's Fulvetta,Alcippe morrisonia
Analisoma coerulescens,Blackish Cuckooshrike,Edolisoma coerulescens
Analisoma ostenta,White-winged Cuckooshrike,Edolisoma ostentum
Anas diazi,Mexican Duck,Anas fulvigula
Anous albivitta,Gray Noddy,Anous albivittus
Anser serrirostris,Tundra Bean-Goose,Anser fabalis
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,Aphelocoma californica
Apus cooki,Cook's Swift,Apus pacificus
Apus leuconyx,Blyth's Swift,Apus pacificus
Apus salimalii,Salim Ali's Swift,Apus pacificus
Artamus leucorynchus,White-breasted Woodswallow,Artamus leucoryn
Brachypodius eutilotus,Puff-backed Bulbul,Euptilotus eutilotus
Brachypodius melanoleucos,Black-and-white Bulbul,Microtarsus melanoleucos
Brachypodius urostictus,Yellow-wattled Bulbul,Poliolophus urostictus
Cecropis badia,Rufous-bellied Swallow,Cecropis daurica
Cecropis striolata,Striated Swallow,Cecropis daurica
Celeus grammicus,Scale-breasted Woodpecker,Celeus undatus
Centronyx bairdii,Baird's Sparrow,Passerculus bairdii
Centronyx henslowii,Henslow's Sparrow,Passerculus henslowii
Cercotrichas coryphoeus,Karoo Scrub-Robin,Tychaedon coryphoeus
Certhilauda brevirostris,Agulhas Lark,Certhilauda curvirostris
Chalcothraupis ruficervix,Golden-naped Tanager,Tangara ruficervix
Chloropicus abyssinicus,Abyssinian Woodpecker,Dendropicos abyssinicus
Chloropicus fuscescens,Cardinal Woodpecker,Dendropicos fuscescens
Chloropicus goertae,African Gray Woodpecker,Dendropicos goertae
Chloropicus griseocephalus,Olive Woodpecker,Dendropicos griseocephalus
Chloropicus lugubris,Melancholy Woodpecker,Dendropicos lugubris
Chloropicus namaquus,Bearded Woodpecker,Dendropicos namaquus
Chloropicus obsoletus,Brown-backed Woodpecker,Dendropicos obsoletus
Chloropicus poecilolaemus,Speckle-breasted Woodpecker,Dendropicos poecilolaemus
Chloropicus pyrrhogaster,Fire-bellied Woodpecker,Dendropicos pyrrhogaster
Chloropicus spodocephalus,Mountain Gray Woodpecker,Dendropicos spodocephalus
Chloropicus xantholophus,Golden-crowned Woodpecker,Dendropicos xantholophus
Chroicocephalus brunnicephalus,Brown-headed Gull,Larus brunnicephalus
Chroicocephalus cirrocephalus,Gray-hooded Gull,Larus cirrocephalus
Chroicocephalus genei,Slender-billed Gull,Larus genei
Chroicocephalus hartlaubii,Hartlaub's Gull,Larus hartlaubii
Chroicocephalus maculipennis,Brown-hooded Gull,Larus maculipennis
Chroicocephalus novaehollandiae,Silver Gull,Larus novaehollandiae
Chroicocephalus philadelphia,Bonaparte's Gull,Larus philadelphia
Chroicocephalus serranus,Andean Gull,Larus serranus
Colibri cyanotus,Lesser Violetear,Colibri thalassinus
Collocalia affinis,Plume-toed Swiftlet,Collocalia esculenta
Collocalia isonota,Ridgetop Swiftlet,Collocalia esculenta
Collocalia marginata,Gray-rumped Swiftlet,Collocalia esculenta
Copsychus fulicatus,Indian Robin,Saxicoloides fulicatus
Copsychus luzoniensis,White-browed Shama,Kittacincla luzoniensis
Copsychus malabaricus,White-rumped Shama,Kittacincla malabarica
Copsychus pyrropygus,Rufous-tailed Shama,Trichixos pyrropygus
Coracina cinerea,Madagascar Cuckooshrike,Ceblepyris cinereus
Corvus cornix,Hooded Crow,Corvus corone
Cyanocorax caeruleus,Azure Jay,Cyanocorax coeruleus
Cyanomitra veroxii,Mouse-colored Sunbird,Cyanomitra verreauxii
Dasylophus cumingi,Scale-feathered Malkoha,Lepidogrammus cumingi
Dendrocoptes auriceps,Brown-fronted Woodpecker,Leiopicus auriceps
Dendrocoptes medius,Middle Spotted Woodpecker,Leiopicus medius
Dicrurus atactus,Fanti Drongo,Dicrurus modestus
Dicrurus divaricatus,Glossy-backed Drongo,Dicrurus adsimilis
Dicrurus occidentalis,Western Square-tailed Drongo,Dicrurus ludwigii
Dixiphia pipra,White-crowned Manakin,Pseudopipra pipra
Dryobates affinis,Red-stained Woodpecker,Veniliornis affinis
Dryobates albolarvatus,White-headed Woodpecker,Leuconotopicus albolarvatus
Dryobates arizonae,Arizona Woodpecker,Leuconotopicus arizonae
Dryobates borealis,Red-cockaded Woodpecker,Leuconotopicus borealis
Dryobates callonotus,Scarlet-backed Woodpecker,Veniliornis callonotus
Dryobates cassini,Golden-collared Woodpecker,Veniliornis cassini
Dryobates chocoensis,Choco Woodpecker,Veniliornis chocoensis
Dryobates dignus,Yellow-vented Woodpecker,Veniliornis dignus
Dryobates fumigatus,Smoky-brown Woodpecker,Leuconotopicus fumigatus
Dryobates kirkii,Red-rumped Woodpecker,Veniliornis kirkii
Dryobates lignarius,Striped Woodpecker,Veniliornis lignarius
Dryobates maculifrons,Yellow-eared Woodpecker,Veniliornis maculifrons
